,Unnamed: 0.1,country_code,country,Date,Score,Confirmed Cases (Ontario),New Cases (Ontario),New Cases (World),Cumulative Cases (World),New Deaths (World),Cumulative Deaths (World),Mean Temperature,Total Precipitation,Days Since First Case,Letter Score
0,17696,CA,Canada,2020-02-16,4,3,0,2090,69277,142,1669,1.4,0.4,20,D
1,17701,CA,Canada,2020-02-21,21,3,0,1044,76817,120,2249,-4.1,0.2,25,C
2,17704,CA,Canada,2020-02-24,17,4,1,619,79565,164,2627,5.8,1.1,28,D
3,17705,CA,Canada,2020-02-25,18,4,0,825,80390,83,2710,3.7,0.2,29,D
4,17706,CA,Canada,2020-02-26,29,5,1,927,81317,61,2771,0.4,11.8,30,C
5,17707,CA,Canada,2020-02-27,34,6,1,1376,82693,43,2814,-4.0,3.1,31,C
6,17709,CA,Canada,2020-02-29,15,8,2,1827,85951,68,2941,-8.0,1.2,33,D
7,17710,CA,Canada,2020-03-01,11,15,7,1880,87831,45,2986,-1.6,0.7,34,D
8,17712,CA,Canada,2020-03-03,21,20,5,2293,92420,79,3152,3.8,9.9,36,C
9,17714,CA,Canada,2020-03-05,14,22,2,2726,97343,101,3343,2.2,1.1,38,D
10,17715,CA,Canada,2020-03-06,25,28,6,3911,101254,113,3456,1.4,1.2,39,C
11,17716,CA,Canada,2020-03-07,7,28,0,3809,105063,93,3549,-0.9,1.1,40,D
12,17717,CA,Canada,2020-03-08,0,31,3,3931,108994,235,3784,5.9,0.5,41,D
13,17718,CA,Canada,2020-03-09,13,34,3,4332,113326,208,3992,12.4,0.2,42,D
14,17720,CA,Canada,2020-03-11,20,42,8,6315,124101,326,4583,1.5,0.2,44,C
15,17721,CA,Canada,2020-03-12,10,59,17,6682,130783,337,4920,3.4,0.0,45,D
16,17722,CA,Canada,2020-03-13,15,79,20,10153,140936,442,5362,5.8,6.2,46,D
17,17723,CA,Canada,2020-03-14,19,79,0,11793,152729,350,5712,2.3,0.0,47,D
18,17724,CA,Canada,2020-03-15,18,103,24,12472,165201,740,6452,0.9,0.8,48,D
19,17725,CA,Canada,2020-03-16,27,145,42,10749,175950,578,7030,0.9,1.5,49,C
20,17726,CA,Canada,2020-03-17,39,177,32,15523,191473,803,7833,4.9,0.4,50,C
21,17727,CA,Canada,2020-03-18,47,189,12,18365,209838,946,8779,1.9,2.1,51,B
22,17728,CA,Canada,2020-03-19,47,258,69,24256,234094,1061,9840,4.8,2.3,52,B
23,17729,CA,Canada,2020-03-20,57,311,53,32003,266097,1346,11186,5.9,4.6,53,B
24,17730,CA,Canada,2020-03-21,48,377,66,26069,292166,1598,12784,-2.9,0.9,54,B
25,17731,CA,Canada,2020-03-22,54,425,48,1944,294110,160,12944,-1.2,0.0,55,B
26,17732,CA,Canada,2020-03-23,65,503,78,40898,335008,1709,14653,2.2,12.1,56,A
27,17733,CA,Canada,2020-03-24,60,588,85,51862,386870,1941,16594,3.3,0.2,57,A
28,17734,CA,Canada,2020-03-25,65,688,100,29810,416680,1979,18573,5.7,1.0,58,A
29,17735,CA,Canada,2020-03-26,68,858,170,54655,471335,2551,21124,8.9,0.9,59,A
30,17736,CA,Canada,2020-03-27,64,993,135,41366,512701,2353,23477,5.9,0.9,60,A
31,17737,CA,Canada,2020-03-28,68,993,0,62724,575425,3151,26628,5.5,1.1,61,A
32,17738,CA,Canada,2020-03-29,66,1355,362,62705,638130,3369,29997,11.7,11.3,62,A
33,17739,CA,Canada,2020-03-30,73,1706,351,59160,697290,3218,33215,7.6,2.5,63,A
34,17740,CA,Canada,2020-03-31,67,1966,260,57643,754933,3307,36522,5.4,0.3,64,A
35,17741,CA,Canada,2020-04-01,64,2392,426,72471,827404,4190,40712,6.1,0.6,65,A
36,17742,CA,Canada,2020-04-02,64,2793,401,72901,900305,4912,45624,8.8,1.1,66,A
37,17743,CA,Canada,2020-04-03,71,3255,462,75944,976249,4790,50414,7.5,1.4,67,A
38,17744,CA,Canada,2020-04-04,65,3630,375,79908,1056157,6716,57130,9.0,0.0,68,A
39,17745,CA,Canada,2020-04-05,65,4038,408,80692,1136849,5749,62879,7.4,0.0,69,A
40,17746,CA,Canada,2020-04-06,66,4347,309,77617,1214466,4811,67690,7.2,1.5,70,A
