date,frequency_score
2020/3/4,46
2020/3/5,47
2020/3/6,48
2020/3/7,55
2020/3/8,55
2020/3/9,48
2020/3/10,47
2020/3/11,41
2020/3/12,38
2020/3/13,40
2020/3/14,48
2020/3/15,48
2020/3/16,39
2020/3/17,39
2020/3/18,41
2020/3/19,38
2020/3/20,36
2020/3/21,44
2020/3/22,40
2020/3/23,34
2020/3/24,31
2020/3/25,33
2020/3/26,34
2020/3/27,33
2020/3/28,37
2020/3/29,37
2020/3/30,33
2020/3/31,35
2020/4/1,32
2020/4/2,32
2020/4/3,34
2020/4/4,36
2020/4/5,36
2020/4/6,34
2020/4/7,33
2020/4/8,35
2020/4/9,34
2020/4/10,37
2020/4/11,37
2020/4/12,36
2020/4/13,36
2020/4/14,32
2020/4/15,33
2020/4/16,33
2020/4/17,33
2020/4/18,40
2020/4/19,40
2020/4/20,34
2020/4/21,33
2020/4/22,33
2020/4/23,36
2020/4/24,40
2020/4/25,42
2020/4/26,41
2020/4/27,34
2020/4/28,35
2020/4/29,36
2020/4/30,37
2020/5/1,38
2020/5/2,47
2020/5/3,48
2020/5/4,43
2020/5/5,41
2020/5/6,42
2020/5/7,40
2020/5/8,42
2020/5/9,49
2020/5/10,47
2020/5/11,44
2020/5/12,43
2020/5/13,45
2020/5/14,51
2020/5/15,55
2020/5/16,67
2020/5/17,59
2020/5/18,62
2020/5/19,55
2020/5/20,54
2020/5/21,53
2020/5/22,59
2020/5/23,72
2020/5/24,100
2020/5/25,83
2020/5/26,67
2020/5/27,63
2020/5/28,62
2020/5/29,57
2020/5/30,68
2020/5/31,66
2020/6/1,57
