"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-01","2020","01","01","","-0.8","","-14.1","","-7.5","","25.5","","0.0","","","","","","0.0","","","","12","","33",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-02","2020","01","02","","0.0","","-0.9","","-0.5","","18.5","","0.0","","","","","","1.2","","","","35","","33",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-03","2020","01","03","","0.4","","-1.7","","-0.7","","18.7","","0.0","","","","","","0.6","","","","26","","45",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-04","2020","01","04","","-0.7","","-9.8","","-5.3","","23.3","","0.0","","","","","","0.0","","","","28","","37",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-05","2020","01","05","","-5.8","","-10.9","","-8.4","","26.4","","0.0","","","","","","0.0","","","","36","","72",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-06","2020","01","06","","-7.2","","-22.0","","-14.6","","32.6","","0.0","","","","","","0.0","","","","35","","63",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-07","2020","01","07","","-10.6","","-22.3","","-16.5","","34.5","","0.0","","","","","","0.0","","","","22","","54",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-08","2020","01","08","","-11.0","","-18.6","","-14.8","","32.8","","0.0","","","","","","0.0","","","","","M","","M"
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-09","2020","01","09","","-11.6","","-21.6","","-16.6","","34.6","","0.0","","","","","","0.0","","","","30","","80",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-10","2020","01","10","","-13.9","","-21.6","","-17.8","","35.8","","0.0","","","","","","0.0","","","","21","","50",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-11","2020","01","11","","-9.6","","-16.2","","-12.9","","30.9","","0.0","","","","","","0.0","","","","29","","54",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-12","2020","01","12","","-15.7","","-19.0","","-17.4","","35.4","","0.0","","","","","","0.0","","","","29","","54",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-13","2020","01","13","","-16.1","","-20.0","","-18.1","","36.1","","0.0","","","","","","0.0","","","","28","","52",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-14","2020","01","14","","-16.0","","-21.3","","-18.7","","36.7","","0.0","","","","","","0.0","","","","29","","39",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-15","2020","01","15","","-13.4","","-20.1","","-16.8","","34.8","","0.0","","","","","","0.0","","","","18","","50",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-16","2020","01","16","","-16.5","","-25.1","","-20.8","","38.8","","0.0","","","","","","0.0","","","","31","","41",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-17","2020","01","17","","-17.9","","-24.9","","-21.4","","39.4","","0.0","","","","","","0.0","","","","31","","71",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-18","2020","01","18","","-18.2","","-21.8","","-20.0","","38.0","","0.0","","","","","","0.0","","","","31","","78",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-19","2020","01","19","","-15.7","","-24.7","","-20.2","","38.2","","0.0","","","","","","0.0","","","","22","","45",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-20","2020","01","20","","-15.5","","-22.6","","-19.1","","37.1","","0.0","","","","","","0.0","","","","","M","","M"
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-21","2020","01","21","","-16.9","","-23.3","","-20.1","","38.1","","0.0","","","","","","0.0","","","","22","","45",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-22","2020","01","22","","-7.7","","-21.2","","-14.5","","32.5","","0.0","","","","","","0.0","","","","22","","39",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-23","2020","01","23","","-3.3","","-8.4","","-5.9","","23.9","","0.0","","","","","","0.0","","","","31","","68",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-24","2020","01","24","","-8.4","","-18.9","","-13.7","","31.7","","0.0","","","","","","0.0","","","","31","","65",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-25","2020","01","25","","-11.3","","-17.7","","-14.5","","32.5","","0.0","","","","","","0.0","","","","28","","48",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-26","2020","01","26","","-6.4","","-14.3","","-10.4","","28.4","","0.0","","","","","","0.0","","","","","M","","M"
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-27","2020","01","27","","-7.9","","-11.8","","-9.9","","27.9","","0.0","","","","","","0.0","","","","1","","58",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-28","2020","01","28","","-11.6","","-16.3","","-14.0","","32.0","","0.0","","","","","","0.0","","","","","M","","M"
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-29","2020","01","29","","-9.7","","-16.2","","-13.0","","31.0","","0.0","","","","","","0.0","","","","33","","54",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-30","2020","01","30","","-10.7","","-19.3","","-15.0","","33.0","","0.0","","","","","","0.0","","","","31","","46",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-01-31","2020","01","31","","-8.6","","-16.2","","-12.4","","30.4","","0.0","","","","","","0.0","","","","31","","59",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-01","2020","02","01","","-7.4","","-18.5","","-13.0","","31.0","","0.0","","","","","","0.0","","","","21","","35",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-02","2020","02","02","","-4.0","","-15.1","","-9.6","","27.6","","0.0","","","","","","0.0","","","","1","","72",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-03","2020","02","03","","-0.2","","-5.3","","-2.8","","20.8","","0.0","","","","","","0.0","","","","34","","107",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-04","2020","02","04","","-3.4","","-10.8","","-7.1","","25.1","","0.0","","","","","","0.0","","","","30","","93",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-05","2020","02","05","","-8.6","","-15.9","","-12.3","","30.3","","0.0","","","","","","0.0","","","","26","","61",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-06","2020","02","06","","-11.2","","-18.9","","-15.1","","33.1","","0.0","","","","","","0.0","","","","24","","63",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-07","2020","02","07","","-14.3","","-18.7","","-16.5","","34.5","","0.0","","","","","","0.0","","","","25","","45",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-08","2020","02","08","","-14.9","","-22.3","","-18.6","","36.6","","0.0","","","","","","0.0","","","","33","","61",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-09","2020","02","09","","-12.2","","-24.2","","-18.2","","36.2","","0.0","","","","","","0.0","","","","22","","48",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-10","2020","02","10","","-7.7","","-17.3","","-12.5","","30.5","","0.0","","","","","","0.0","","","","22","","41",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-11","2020","02","11","","-10.6","","-22.5","","-16.6","","34.6","","0.0","","","","","","0.1","","","","","M","","M"
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-12","2020","02","12","","-6.9","","-24.3","","-15.6","","33.6","","0.0","","","","","","0.0","","","","19","","32",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-13","2020","02","13","","-6.3","","-22.9","","-14.6","","32.6","","0.0","","","","","","0.0","","","","27","","65",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-14","2020","02","14","","-16.4","","-25.0","","-20.7","","38.7","","0.0","","","","","","0.0","","","","29","","65",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-15","2020","02","15","","-15.8","","-21.9","","-18.9","","36.9","","0.0","","","","","","0.0","","","","26","","55",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-16","2020","02","16","","-6.1","","-16.2","","-11.2","","29.2","","0.0","","","","","","0.0","","","","21","","61",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-17","2020","02","17","","-9.4","","-23.5","","-16.5","","34.5","","0.0","","","","","","0.0","","","","29","","48",""
"-57.04","53.68","CARTWRIGHT A","8501106","2020-02-18","2020","02","18","","-12.3","","-22.4","","-17.4","","35.4","","0.0","","","","","","0.0","","","","20","","45",""
